City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Watertown,US,2022-04-15 18:13:57,42.3709,-71.1828,20.03,21,0,7.2,clear sky
249,Vardo,NO,2022-04-15 18:14:51,70.3705,31.1107,0.79,82,70,5.19,light snow
250,Sao Joao Da Barra,BR,2022-04-15 18:14:51,-21.6403,-41.0511,25.05,58,89,10.86,overcast clouds
251,Umm Lajj,SA,2022-04-15 18:14:52,25.0213,37.2685,25.12,57,0,2.74,clear sky
252,Lethem,GY,2022-04-15 18:14:52,3.3803,-59.7968,26.76,71,100,4.54,overcast clouds
253,Nouadhibou,MR,2022-04-15 18:14:53,20.931,-17.0347,18.99,77,0,8.75,clear sky
254,Mount Isa,AU,2022-04-15 18:14:53,-20.7333,139.5,20.87,46,39,0.0,light rain
255,Menomonie,US,2022-04-15 18:14:54,44.8755,-91.9193,-0.24,36,89,7.91,overcast clouds
256,Los Llanos De Aridane,ES,2022-04-15 18:14:54,28.6585,-17.9182,18.96,79,0,6.69,clear sky
257,Wajima,JP,2022-04-15 18:14:54,37.4,136.9,9.1,87,100,8.82,overcast clouds
