City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Ixtapa,MX,25.57,broken clouds,20.7,-105.2,hotel la terminal
574,Mancio Lima,BR,26.04,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
576,Saint-Francois,FR,18.69,clear sky,46.4154,3.9054,Manoir Du Bonheur
577,Mahanoro,MG,23.85,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
580,Netrakona,BD,26.4,few clouds,24.8833,90.7167,Rakib chatrabas
586,Visconde Do Rio Branco,BR,24.9,broken clouds,-21.0103,-42.8406,Rio Branco palace hotel
588,Luang Prabang,LA,25.61,broken clouds,19.8856,102.1347,The Apsara
597,Olutanga,PH,27.27,broken clouds,7.3106,122.8464,Morales Lodge
604,Tambura,SS,21.27,overcast clouds,5.6,27.4667,Rikito Lodge
605,Yeppoon,AU,18.88,clear sky,-23.1333,150.7333,Villa Mar Colina
606,Oxford,GB,19.09,clear sky,51.7522,-1.256,Malmaison Oxford
607,Epe,NG,28.03,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
608,Port Moresby,PG,25.04,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
609,La Cruz,MX,28.19,broken clouds,23.9167,-106.9,Jesús angel
610,Bereda,ES,19.12,clear sky,43.2686,-7.5406,Pazo de Verdes
613,Bitung,ID,25.47,overcast clouds,1.4451,125.1824,K2 Lembeh
619,Bud,US,21.01,broken clouds,39.447,-86.1758,Ted McQuinn Trust
621,Yenagoa,NG,27.51,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
622,Singapore,SG,27.97,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
623,Boca Do Acre,BR,26.81,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
624,Alugan,PH,25.89,few clouds,12.2188,125.4808,JM Lodge
629,Warwick,US,20.08,scattered clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
633,Maxixe,MZ,25.96,broken clouds,-23.8597,35.3472,Oceano
636,Akyab,MM,27.93,few clouds,20.15,92.9,Hotel Memory
638,Pouebo,NC,22.2,broken clouds,-20.4,164.5667,RIVÂT LODGE
640,Gladstone,AU,19.96,clear sky,-23.85,151.25,Highpoint International Hotel
641,Ilebo,CD,22.18,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
643,Xucheng,CN,22.86,few clouds,20.35,110.1288,Haixing Hotel
645,Menongue,AO,18.3,light rain,-14.6585,17.691,Ritz Lauca
647,Twentynine Palms,US,22.76,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
648,Pueblo,US,21.97,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
651,Zorritos,PE,28.16,broken clouds,-3.6805,-80.6782,Hotel Pinamar
652,Luanshya,ZM,19.5,broken clouds,-13.1367,28.4166,CHOLWA GUEST HOUSE
653,Creel,MX,20.97,overcast clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
655,Grand Baie,MU,24.26,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
659,Nhulunbuy,AU,26.34,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
660,Palembang,ID,25.05,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
661,Tocopilla,CL,19.72,clear sky,-22.092,-70.1979,Hotel Galvarino
670,Abnub,EG,26.4,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
671,Porto Santo,PT,18.21,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
672,Sinnamary,GF,27.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
673,Jardim,BR,27.71,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
677,La Seyne-Sur-Mer,FR,22.16,scattered clouds,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
678,Acevedo,CO,22.84,overcast clouds,1.8361,-75.855,Finca San Pedro
679,Villa Carlos Paz,AR,21.88,clear sky,-31.4241,-64.4978,Monte Carlo vcp
681,Abonnema,NG,27.96,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
